BioSample	Experiment	InsertSize	Instrument	MBases	MBytes	Run	SRA_Sample	Sample_Name	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
SAMEA4385622	ERX1670471	400	Illumina HiSeq 2500	12872	5486	ERR1599904	ERS1297071	Kob_M27	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385623	ERX1670472	400	Illumina HiSeq 2500	13839	5768	ERR1599905	ERS1297072	Kob_M28	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385624	ERX1670473	400	Illumina HiSeq 2500	12606	5238	ERR1599906	ERS1297073	Qar_L31	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385625	ERX1670474	400	Illumina HiSeq 2500	13091	5366	ERR1599907	ERS1297074	Qar_L33	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385626	ERX1670475	400	Illumina HiSeq 2500	13393	5530	ERR1599908	ERS1297075	Qar_L35	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385627	ERX1670476	500	Illumina HiSeq 2000	4858	3390	ERR1599909	ERS1297076	Ran_M1	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385627	ERX1670477	500	Illumina HiSeq 2000	5051	3569	ERR1599910	ERS1297076	Ran_M1	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385628	ERX1670478	500	Illumina HiSeq 2000	4784	3323	ERR1599911	ERS1297077	Ran_M3	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385628	ERX1670479	500	Illumina HiSeq 2000	5119	3599	ERR1599912	ERS1297077	Ran_M3	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385629	ERX1670480	500	Illumina HiSeq 2000	4925	3504	ERR1599913	ERS1297078	Ran_M5	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
SAMEA4385629	ERX1670481	500	Illumina HiSeq 2000	5076	3618	ERR1599914	ERS1297078	Ran_M5	WGS	200	PRJEB15181	AARHUS UNIVERSITY, DENMARK	public	sra	ncbi	PAIRED	RANDOM	GENOMIC	unspecified	2016-10-05	Gasterosteus aculeatus	ILLUMINA	2016-09-30	ERP016886
