study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	nominal_length	library_layout	read_count	base_count	fastq_ftp	sra_ftp	sample_title
PRJEB21643	ERP023915	SAMEA104157457	ERS1816475	ERX2088810	ERR2029753	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	22089712	4345035100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029753/ERR2029753.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029753/ERR2029753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/003/ERR2029753/ERR2029753_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/003/ERR2029753	Pcol20
PRJEB21643	ERP023915	SAMEA104157458	ERS1816476	ERX2088811	ERR2029754	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	24093115	4703482300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029754/ERR2029754.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029754/ERR2029754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/004/ERR2029754/ERR2029754_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/004/ERR2029754	Pcol21
PRJEB21643	ERP023915	SAMEA104157459	ERS1816477	ERX2088812	ERR2029755	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	19413943	3809332900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029755/ERR2029755.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029755/ERR2029755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/005/ERR2029755/ERR2029755_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/005/ERR2029755	Pcol22
PRJEB21643	ERP023915	SAMEA104157460	ERS1816478	ERX2088813	ERR2029756	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	25482522	4990211200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029756/ERR2029756.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029756/ERR2029756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/006/ERR2029756/ERR2029756_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/006/ERR2029756	Pcol23
PRJEB21643	ERP023915	SAMEA104157461	ERS1816479	ERX2088814	ERR2029757	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	29322234	5737908900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029757/ERR2029757.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029757/ERR2029757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/007/ERR2029757/ERR2029757_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/007/ERR2029757	Pcol37
PRJEB21643	ERP023915	SAMEA104157462	ERS1816480	ERX2088815	ERR2029758	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	32111398	6249819300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2029758/ERR2029758.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2029758/ERR2029758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/008/ERR2029758/ERR2029758_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/008/ERR2029758	Pcol38
PRJEB21643	ERP023915	SAMEA104157463	ERS1816481	ERX2088816	ERR2029759	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	23903645	4643879800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2029759/ERR2029759.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2029759/ERR2029759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/009/ERR2029759/ERR2029759_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/009/ERR2029759	Pcol39
PRJEB21643	ERP023915	SAMEA104157464	ERS1816482	ERX2088817	ERR2029760	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	30563719	5960973500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2029760/ERR2029760.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2029760/ERR2029760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/000/ERR2029760/ERR2029760_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/000/ERR2029760	Pcol41
PRJEB21643	ERP023915	SAMEA104157465	ERS1816483	ERX2088818	ERR2029761	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	28475492	5585862900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2029761/ERR2029761.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2029761/ERR2029761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/001/ERR2029761/ERR2029761_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/001/ERR2029761	Pcol42
PRJEB21643	ERP023915	SAMEA104157466	ERS1816484	ERX2088819	ERR2029762	216582	Phylloscopus collybita tristis	Illumina HiSeq 2000	unspecified	180	PAIRED	28278282	5513374800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2029762/ERR2029762.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2029762/ERR2029762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR202/002/ERR2029762/ERR2029762_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR202/002/ERR2029762	Pcol47
