study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	read_count	base_count	fastq_ftp	sra_ftp	sample_alias	sample_title
PRJEB22939	SAMEA104363382	ERS1988360	ERX2241607	ERR2185488	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	48945218	9703051300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185488/ERR2185488.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185488/ERR2185488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185488/ERR2185488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/008/ERR2185488	11	ItalianIslandSparrow
PRJEB22939	SAMEA104363383	ERS1988361	ERX2241608	ERR2185489	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	47063104	9334926200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185489/ERR2185489.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185489/ERR2185489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185489/ERR2185489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/009/ERR2185489	12	ItalianIslandSparrow
PRJEB22939	SAMEA104363384	ERS1988362	ERX2241609	ERR2185490	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	46519801	9224090600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185490/ERR2185490.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185490/ERR2185490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185490/ERR2185490_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/000/ERR2185490	13	ItalianIslandSparrow
PRJEB22939	SAMEA104363385	ERS1988363	ERX2241610	ERR2185491	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	45907480	9106535900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185491/ERR2185491.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185491/ERR2185491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185491/ERR2185491_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/001/ERR2185491	14	ItalianIslandSparrow
PRJEB22939	SAMEA104363386	ERS1988364	ERX2241611	ERR2185492	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	52598386	10429817700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185492/ERR2185492.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185492/ERR2185492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185492/ERR2185492_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/002/ERR2185492	15	ItalianIslandSparrow
PRJEB22939	SAMEA104363387	ERS1988365	ERX2241612	ERR2185493	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	51143427	10144087900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185493/ERR2185493.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185493/ERR2185493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185493/ERR2185493_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/003/ERR2185493	16	ItalianIslandSparrow
PRJEB22939	SAMEA104363388	ERS1988366	ERX2241613	ERR2185494	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	47646684	9442938100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185494/ERR2185494.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185494/ERR2185494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185494/ERR2185494_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/004/ERR2185494	17	ItalianIslandSparrow
PRJEB22939	SAMEA104363389	ERS1988367	ERX2241614	ERR2185495	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	54429381	10781236200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185495/ERR2185495.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185495/ERR2185495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185495/ERR2185495_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/005/ERR2185495	18	ItalianIslandSparrow
PRJEB22939	SAMEA104363390	ERS1988368	ERX2241615	ERR2185496	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	50725116	10050897200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185496/ERR2185496.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185496/ERR2185496_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185496/ERR2185496_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/006/ERR2185496	19	ItalianIslandSparrow
PRJEB22939	SAMEA104363391	ERS1988369	ERX2241616	ERR2185497	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	47582846	9429681600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185497/ERR2185497.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185497/ERR2185497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185497/ERR2185497_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/007/ERR2185497	20	ItalianIslandSparrow
PRJEB22939	SAMEA104363392	ERS1988370	ERX2241617	ERR2185498	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	43317335	8571717500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185498/ERR2185498.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185498/ERR2185498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185498/ERR2185498_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/008/ERR2185498	21	ItalianIslandSparrow
PRJEB22939	SAMEA104363393	ERS1988371	ERX2241618	ERR2185499	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	44253908	8752350700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185499/ERR2185499.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185499/ERR2185499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185499/ERR2185499_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/009/ERR2185499	22	ItalianIslandSparrow
PRJEB22939	SAMEA104363394	ERS1988372	ERX2241619	ERR2185500	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	112397178	22188183400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185500/ERR2185500.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185500/ERR2185500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185500/ERR2185500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/000/ERR2185500	23	ItalianIslandSparrow
PRJEB22939	SAMEA104363395	ERS1988373	ERX2241620	ERR2185501	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	67277056	13290867600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185501/ERR2185501.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185501/ERR2185501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185501/ERR2185501_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/001/ERR2185501	24	ItalianIslandSparrow
PRJEB22939	SAMEA104363396	ERS1988374	ERX2241621	ERR2185502	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	65237678	12892803300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185502/ERR2185502.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185502/ERR2185502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185502/ERR2185502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/002/ERR2185502	25	ItalianIslandSparrow
PRJEB22939	SAMEA104363397	ERS1988375	ERX2241622	ERR2185503	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	67609572	13368494700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185503/ERR2185503.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185503/ERR2185503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185503/ERR2185503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/003/ERR2185503	26	ItalianIslandSparrow
PRJEB22939	SAMEA104363398	ERS1988376	ERX2241623	ERR2185504	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	50784155	10045036500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185504/ERR2185504.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185504/ERR2185504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185504/ERR2185504_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/004/ERR2185504	27	ItalianIslandSparrow
PRJEB22939	SAMEA104363399	ERS1988377	ERX2241624	ERR2185505	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	66073830	13057085600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185505/ERR2185505.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185505/ERR2185505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185505/ERR2185505_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/005/ERR2185505	28	ItalianIslandSparrow
PRJEB22939	SAMEA104363400	ERS1988378	ERX2241625	ERR2185506	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	90894443	17958112800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185506/ERR2185506.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185506/ERR2185506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185506/ERR2185506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/006/ERR2185506	29	ItalianIslandSparrow
PRJEB22939	SAMEA104363401	ERS1988379	ERX2241626	ERR2185507	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	54309784	10738788200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185507/ERR2185507.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185507/ERR2185507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185507/ERR2185507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/007/ERR2185507	30	ItalianIslandSparrow
PRJEB22939	SAMEA104363402	ERS1988380	ERX2241627	ERR2185508	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	48978788	9691886800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185508/ERR2185508.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185508/ERR2185508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185508/ERR2185508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/008/ERR2185508	31	ItalianIslandSparrow
PRJEB22939	SAMEA104363403	ERS1988381	ERX2241628	ERR2185509	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	51683081	10262904500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185509/ERR2185509.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185509/ERR2185509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185509/ERR2185509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/009/ERR2185509	32	ItalianIslandSparrow
PRJEB22939	SAMEA104363404	ERS1988382	ERX2241629	ERR2185510	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	48238578	9576309500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185510/ERR2185510.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185510/ERR2185510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185510/ERR2185510_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/000/ERR2185510	33	ItalianIslandSparrow
PRJEB22939	SAMEA104363405	ERS1988383	ERX2241630	ERR2185511	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	48398062	9596381200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185511/ERR2185511.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185511/ERR2185511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185511/ERR2185511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/001/ERR2185511	34	ItalianIslandSparrow
PRJEB22939	SAMEA104363406	ERS1988384	ERX2241631	ERR2185512	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	50571316	10031165000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185512/ERR2185512.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185512/ERR2185512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185512/ERR2185512_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/002/ERR2185512	35	ItalianIslandSparrow
PRJEB22939	SAMEA104363408	ERS1988386	ERX2241632	ERR2185513	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	45665958	9065991000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185513/ERR2185513.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185513/ERR2185513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185513/ERR2185513_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/003/ERR2185513	37	ItalianIslandSparrow
PRJEB22939	SAMEA104363409	ERS1988387	ERX2241633	ERR2185514	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	44688550	8867144100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185514/ERR2185514.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185514/ERR2185514_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185514/ERR2185514_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/004/ERR2185514	38	ItalianIslandSparrow
PRJEB22939	SAMEA104363410	ERS1988388	ERX2241634	ERR2185515	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	49051994	9733480500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185515/ERR2185515.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185515/ERR2185515_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/005/ERR2185515/ERR2185515_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/005/ERR2185515	39	ItalianIslandSparrow
PRJEB22939	SAMEA104363411	ERS1988389	ERX2241635	ERR2185516	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	50702020	10044316000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185516/ERR2185516.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185516/ERR2185516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/006/ERR2185516/ERR2185516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/006/ERR2185516	40	ItalianIslandSparrow
PRJEB22939	SAMEA104363412	ERS1988390	ERX2241636	ERR2185517	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	49858215	9886333200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185517/ERR2185517.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185517/ERR2185517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/007/ERR2185517/ERR2185517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/007/ERR2185517	41	ItalianIslandSparrow
PRJEB22939	SAMEA104363413	ERS1988391	ERX2241637	ERR2185518	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	48964817	9717549700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185518/ERR2185518.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185518/ERR2185518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/008/ERR2185518/ERR2185518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/008/ERR2185518	42	ItalianIslandSparrow
PRJEB22939	SAMEA104363414	ERS1988392	ERX2241638	ERR2185519	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	49361951	9786204700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185519/ERR2185519.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185519/ERR2185519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/009/ERR2185519/ERR2185519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/009/ERR2185519	43	ItalianIslandSparrow
PRJEB22939	SAMEA104363415	ERS1988393	ERX2241639	ERR2185520	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	50591365	10038394300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185520/ERR2185520.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185520/ERR2185520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/000/ERR2185520/ERR2185520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/000/ERR2185520	44	ItalianIslandSparrow
PRJEB22939	SAMEA104363416	ERS1988394	ERX2241640	ERR2185521	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	49066123	9732554300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185521/ERR2185521.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185521/ERR2185521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/001/ERR2185521/ERR2185521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/001/ERR2185521	45	ItalianIslandSparrow
PRJEB22939	SAMEA104363417	ERS1988395	ERX2241641	ERR2185522	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	48741676	9677131300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185522/ERR2185522.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185522/ERR2185522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/002/ERR2185522/ERR2185522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/002/ERR2185522	46	ItalianIslandSparrow
PRJEB22939	SAMEA104363418	ERS1988396	ERX2241642	ERR2185523	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	44634991	8852711600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185523/ERR2185523.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185523/ERR2185523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/003/ERR2185523/ERR2185523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/003/ERR2185523	47	ItalianIslandSparrow
PRJEB22939	SAMEA104363419	ERS1988397	ERX2241643	ERR2185524	1069440	Passer italiae	Illumina HiSeq 2000	100	PAIRED	44529311	8833605200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185524/ERR2185524.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185524/ERR2185524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR218/004/ERR2185524/ERR2185524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR218/004/ERR2185524	48	ItalianIslandSparrow
