Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Experiment	InsertSize	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	biomaterial_provider	breed	isolate	sex	tissue	Consent	LibraryLayout	LibrarySource	Organism	Platform
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264597	Model organism or animal	BCM	SRX966724	148	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.18277-1_1pA	2015-03-24	114697	58640	2015-04-30	SRR1927121	SRS882239	SRP049547	MMUL.IN-18277	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	18277	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264608	Model organism or animal	BCM	SRX968358	205	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28518-1_1pA	2015-03-25	29156	15206	2015-04-30	SRR1929264	SRS883592	SRP049547	MMUL.IN-28518	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28518	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264609	Model organism or animal	BCM	SRX968359	201	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28535-1_1pA	2015-03-25	22083	10555	2015-04-30	SRR1929266	SRS883593	SRP049547	MMUL.IN-28535	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28535	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264607	Model organism or animal	BCM	SRX968357	197	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28507-2_1pA	2015-03-25	29500	15169	2015-04-30	SRR1929262	SRS883594	SRP049547	MMUL.IN-28507	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28507	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264610	Model organism or animal	BCM	SRX968360	198	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.28555-1_1pA	2015-03-25	20960	10360	2015-04-30	SRR1929268	SRS883600	SRP049547	MMUL.IN-28555	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	28555	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264612	Model organism or animal	BCM	SRX968361	181	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30110-1_1pA	2015-03-25	90304	44188	2015-04-30	SRR1929270	SRS883602	SRP049547	MMUL.IN-30110	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30110	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264613	Model organism or animal	BCM	SRX968363	136	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30119-1_1pA	2015-03-26	112950	53909	2015-04-30	SRR1929275	SRS883603	SRP049547	MMUL.IN-30119	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30119	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264611	Model organism or animal	BCM	SRX968362	269	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30065-1_1pA	2015-03-25	22574	10584	2015-04-30	SRR1929273	SRS883604	SRP049547	MMUL.IN-30065	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30065	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264615	Model organism or animal	BCM	SRX968366	200	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30139-1_1pA	2015-03-25	22422	11908	2015-04-30	SRR1929281	SRS883610	SRP049547	MMUL.IN-30139	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30139	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264614	Model organism or animal	BCM	SRX968365	167	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30136-1_1pA	2015-03-26	92544	42420	2015-04-30	SRR1929278	SRS883611	SRP049547	MMUL.IN-30136	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30136	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264620	Model organism or animal	BCM	SRX968368	191	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.31505-1_1pA	2015-03-25	107463	51310	2015-04-30	SRR1929286	SRS883619	SRP049547	MMUL.IN-31505	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	31505	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264617	Model organism or animal	BCM	SRX968367	188	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30175-1_1pA	2015-03-26	109386	58274	2015-04-30	SRR1929283	SRS883620	SRP049547	MMUL.IN-30175	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30175	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264618	Model organism or animal	BCM	SRX968369	199	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30423-1_1pA	2015-03-25	26448	12290	2015-04-30	SRR1929289	SRS883622	SRP049547	MMUL.IN-30423	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30423	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264631	Model organism or animal	BCM	SRX968387	190	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34753-1_1pA	2015-03-26	106291	51917	2015-04-30	SRR1929317	SRS883638	SRP049547	MMUL.IN-34753	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34753	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264629	Model organism or animal	BCM	SRX968385	407	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMNJR.34600-1_3pA	2015-03-25	93624	47823	2015-04-30	SRR1929313	SRS883639	SRP049547	MMUL.IN-34600	Adult	Eric Vallender, NEPRC (New England National Primate Research Center)	Indian	34600	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264626	Model organism or animal	BCM	SRX968384	392	Illumina HiSeq 2000	RANDOM	IWG_RMMNJR.34595-1_2pA	2015-03-26	99552	51123	2015-04-30	SRR1929310	SRS883640	SRP049547	MMUL.IN-34595	Adult	Eric Vallender, NEPRC (New England National Primate Research Center)	Indian	34595	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264621	Model organism or animal	BCM	SRX968382	207	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.32510-1_2pA	2015-03-26	91608	50251	2015-04-30	SRR1929307	SRS883641	SRP049547	MMUL.IN-32510	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	32510	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264616	Model organism or animal	BCM	SRX968381	146	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30158-1_1pA	2015-03-26	139437	66979	2015-04-30	SRR1929293	SRS883642	SRP049547	MMUL.IN-30158	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30158	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264619	Model organism or animal	BCM	SRX968380	202	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.30424-1_1pA	2015-03-25	29959	15371	2015-04-30	SRR1929291	SRS883643	SRP049547	MMUL.IN-30424	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	30424	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264638	Model organism or animal	BCM	SRX968394	190	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34769-1_1pA	2015-03-25	116218	57318	2015-04-30	SRR1929335	SRS883644	SRP049547	MMUL.IN-34769	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34769	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264639	Model organism or animal	BCM	SRX968395	186	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34770-1_1pA	2015-03-25	111538	55059	2015-04-30	SRR1929338	SRS883645	SRP049547	MMUL.IN-34770	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34770	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264641	Model organism or animal	BCM	SRX968396	168	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35044-1_1pA	2015-03-25	111605	54051	2015-04-30	SRR1929341	SRS883646	SRP049547	MMUL.IN-35044	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35044	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264637	Model organism or animal	BCM	SRX968393	181	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34768-1_1pA	2015-03-25	111212	52335	2015-04-30	SRR1929332	SRS883647	SRP049547	MMUL.IN-34768	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34768	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264636	Model organism or animal	BCM	SRX968392	190	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34764-1_1pA	2015-03-25	104506	53856	2015-04-30	SRR1929329	SRS883648	SRP049547	MMUL.IN-34764	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34764	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264635	Model organism or animal	BCM	SRX968391	195	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34762-1_1pA	2015-03-25	113639	53859	2015-04-30	SRR1929326	SRS883649	SRP049547	MMUL.IN-34762	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34762	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264632	Model organism or animal	BCM	SRX968388	191	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34754-1_1pA	2015-03-25	101776	52573	2015-04-30	SRR1929320	SRS883650	SRP049547	MMUL.IN-34754	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34754	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264634	Model organism or animal	BCM	SRX968390	191	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34759-1_1pA	2015-03-25	95211	52365	2015-04-30	SRR1929323	SRS883651	SRP049547	MMUL.IN-34759	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34759	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264624	Model organism or animal	BCM	SRX968410	192	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.33674-1_1pB	2015-03-26	100052	53748	2015-04-30	SRR1929379	SRS883652	SRP049547	MMUL.IN-33674	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	33674	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264625	Model organism or animal	BCM	SRX968408	177	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.33707-1_1pA	2015-03-25	94366	48637	2015-04-30	SRR1929376	SRS883653	SRP049547	MMUL.IN-33707	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	33707	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264622	Model organism or animal	BCM	SRX968406	180	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.32538-1_1pA	2015-03-25	105381	61449	2015-04-30	SRR1929370	SRS883654	SRP049547	MMUL.IN-32538	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	32538	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264623	Model organism or animal	BCM	SRX968407	164	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMWJR.32754-1_1pA	2015-03-26	106224	58849	2015-04-30	SRR1929373	SRS883655	SRP049547	MMUL.IN-32754	Adult	Roger Wiseman, Ned Kalin, WNPRC (Wisconsin National Primate Research Center)	Indian	32754	female	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264627	Model organism or animal	BCM	SRX968405	407	Illumina HiSeq 2000	RANDOM	IWG_RMMNJR.34597-1_2pA	2015-03-26	105436	54209	2015-04-30	SRR1929367	SRS883656	SRP049547	MMUL.IN-34597	Adult	Eric Vallender, NEPRC (New England National Primate Research Center)	Indian	34597	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264649	Model organism or animal	BCM	SRX968402	161	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35055-1_1pA	2015-03-26	101902	50076	2015-04-30	SRR1929361	SRS883657	SRP049547	MMUL.IN-35055	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35055	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264647	Model organism or animal	BCM	SRX968403	167	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35051-1_1pA	2015-03-25	107405	54012	2015-04-30	SRR1929364	SRS883658	SRP049547	MMUL.IN-35051	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35051	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264646	Model organism or animal	BCM	SRX968401	177	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35049-1_1pA	2015-03-25	126907	65034	2015-04-30	SRR1929358	SRS883659	SRP049547	MMUL.IN-35049	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35049	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264643	Model organism or animal	BCM	SRX968399	168	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35046-1_1pA	2015-03-25	103354	54784	2015-04-30	SRR1929352	SRS883660	SRP049547	MMUL.IN-35046	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35046	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264642	Model organism or animal	BCM	SRX968398	169	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35045-1_1pA	2015-03-26	183921	94487	2015-04-30	SRR1929347	SRS883661	SRP049547	MMUL.IN-35045	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35045	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264640	Model organism or animal	BCM	SRX968397	189	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34771-1_1pA	2015-03-25	113641	52806	2015-04-30	SRR1929344	SRS883662	SRP049547	MMUL.IN-34771	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34771	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264645	Model organism or animal	BCM	SRX968400	181	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35048-1_1pA	2015-03-25	119336	61946	2015-04-30	SRR1929355	SRS883663	SRP049547	MMUL.IN-35048	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35048	male	WBC	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264633	Model organism or animal	BCM	SRX968413	191	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMYJR.34755-1_1pA	2015-03-25	105543	54200	2015-04-30	SRR1929386	SRS883664	SRP049547	MMUL.IN-34755	Adult	Zachary Johnson, YNPRC (Yerkes National Primate Research Center)	Indian	34755	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264630	Model organism or animal	BCM	SRX968411	412	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMNJR.34602-1_1pA	2015-03-25	102194	53409	2015-04-30	SRR1929382	SRS883665	SRP049547	MMUL.IN-34602	Adult	Eric Vallender, NEPRC (New England National Primate Research Center)	Indian	34602	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264653	Model organism or animal	BCM	SRX971242	161	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMCJR.35082-1_1pA	2015-03-27	137823	73650	2015-04-30	SRR1944102	SRS886329	SRP049547	MMUL.CH-35082	Adult	Sree Kanthaswamy, David Smith, CNPRC (California National Primate Research Center)	Chinese	35082	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264651	Model organism or animal	BCM	SRX971248	184	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35060-1_1pA	2015-03-27	122400	62899	2015-04-30	SRR1944114	SRS886330	SRP049547	MMUL.IN-35060	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35060	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264662	Model organism or animal	BCM	SRX971253	168	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMCJR.35091-1_1pA	2015-03-27	174435	88079	2015-04-30	SRR1944129	SRS886332	SRP049547	MMUL.IN-35091	Adult	Sree Kanthaswamy, David Smith, CNPRC (California National Primate Research Center)	Indian	35091	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264650	Model organism or animal	BCM	SRX971246	178	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35059-1_1pA	2015-03-27	110036	53270	2015-04-30	SRR1944110	SRS886333	SRP049547	MMUL.IN-35059	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35059	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264660	Model organism or animal	BCM	SRX971252	171	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMCJR.35089-1_1pA	2015-03-27	100815	48347	2015-04-30	SRR1944126	SRS886334	SRP049547	MMUL.IN-35089	Adult	Sree Kanthaswamy, David Smith, CNPRC (California National Primate Research Center)	Indian	35089	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264659	Model organism or animal	BCM	SRX971251	167	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMCJR.35088-1_1pA	2015-03-27	97778	46659	2015-04-30	SRR1944123	SRS886335	SRP049547	MMUL.IN-35088	Adult	Sree Kanthaswamy, David Smith, CNPRC (California National Primate Research Center)	Indian	35088	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264658	Model organism or animal	BCM	SRX971250	171	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMCJR.35087-1_1pA	2015-03-27	91285	41606	2015-04-30	SRR1944120	SRS886336	SRP049547	MMUL.IN-35087	Adult	Sree Kanthaswamy, David Smith, CNPRC (California National Primate Research Center)	Indian	35087	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264652	Model organism or animal	BCM	SRX971249	168	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMOJR.35061-1_1pA	2015-03-27	127092	64885	2015-04-30	SRR1944117	SRS886337	SRP049547	MMUL.IN-35061	Adult	Betsy Ferguson, ONPRC (Oregon National Primate Research Center)	Indian	35061	male	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
WGS	GCF_000002255.2	202	PRJNA251548	SAMN03264657	Model organism or animal	BCM	SRX971244	164	Illumina HiSeq 2000	RANDOM	IWG_IND-RMMCJR.35086-1_1pA	2015-03-27	99326	47526	2015-04-30	SRR1944106	SRS886338	SRP049547	MMUL.CH-35086	Adult	Sree Kanthaswamy, David Smith, CNPRC (California National Primate Research Center)	Chinese	35086	female	not applicable	public	PAIRED	GENOMIC	Macaca mulatta	ILLUMINA
