AvgSpotLen	BioSample	Experiment	Instrument	LibraryLayout	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	Sample_Name	breed	collection_date	geo_loc_name	isolate	isolation_source	sex	sub_species	tissue	Assay_Type	BioProject	BioSampleModel	Consent	InsertSize	LibrarySelection	SRA_Study
202	SAMN05224210	SRX2023519	Illumina HiSeq 2000	PAIRED	GENOMIC	STRIWOM5781	2017-03-14	13475	10045	Heliconius erato amalfreda	ILLUMINA	2017-03-14	SRR4032010	SRS1618010	STRIWOM5781		01-Jan-2012	Suriname	Heliconius erato amalfreda STRIWOM5781	Brokopondo	female		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224108	SRX2023521	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3227	2016-08-15	8092	3237	Heliconius erato notabilis	ILLUMINA	2017-03-08	SRR4032012	SRS1618012	BC3227		01-Jan-2012	Ecuador	Heliconius erato notabilis BC3227	Huamboya	female	notabilis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224109	SRX2023522	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3228	2016-08-15	7106	2803	Heliconius erato notabilis	ILLUMINA	2017-03-08	SRR4032013	SRS1618013	BC3228		01-Jan-2012	Ecuador	Heliconius erato notabilis BC3228	Huamboya	male	notabilis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224110	SRX2023523	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3277	2016-08-15	8561	3378	Heliconius erato etylus	ILLUMINA	2017-03-08	SRR4032014	SRS1618014	BC3277		01-Jan-2012	Ecuador	Heliconius erato etylus BC3277	Huamboya	male	etylus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224111	SRX2023524	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3278	2016-08-15	9192	3658	Heliconius erato etylus	ILLUMINA	2017-03-08	SRR4032015	SRS1618015	BC3278		01-Jan-2012	Ecuador	Heliconius erato etylus BC3278	Huamboya	female	etylus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224112	SRX2023525	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3280	2016-08-15	8330	3332	Heliconius erato etylus	ILLUMINA	2017-03-08	SRR4032016	SRS1618016	BC3280		01-Jan-2012	Ecuador	Heliconius erato etylus BC3280	Huamboya	female	etylus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224113	SRX2023526	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3281	2016-08-15	9532	3778	Heliconius erato etylus	ILLUMINA	2017-03-08	SRR4032017	SRS1618017	BC3281		01-Jan-2012	Ecuador	Heliconius erato etylus BC3281	Huamboya	male	etylus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224114	SRX2023527	Illumina HiSeq 2000	PAIRED	GENOMIC	BC3282	2016-08-15	9646	3827	Heliconius erato etylus	ILLUMINA	2017-03-08	SRR4032018	SRS1618018	BC3282		01-Jan-2012	Ecuador	Heliconius erato etylus BC3282	Huamboya	female	etylus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224115	SRX2023528	Illumina HiSeq 2000	PAIRED	GENOMIC	CA51	2016-08-15	9761	3503	Heliconius erato petiverana	ILLUMINA	2017-03-08	SRR4032019	SRS1618019	CA51		01-Jan-2012	Mexico	Heliconius erato petiverana CA51	Mexico	female	petiverana	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224098	SRX2023529	Illumina HiSeq 2000	PAIRED	GENOMIC	3663	2016-08-15	14339	4936	Heliconius erato chestertonii	ILLUMINA	2017-03-08	SRR4032020	SRS1618020	3663		01-Jan-2012	Colombia	Heliconius erato chestertonii 3663	Colombia	male	chestertonii	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224116	SRX2023530	Illumina HiSeq 2000	PAIRED	GENOMIC	CA53	2016-08-15	11614	4063	Heliconius erato petiverana	ILLUMINA	2017-03-08	SRR4032021	SRS1618021	CA53		01-Jan-2012	Mexico	Heliconius erato petiverana CA53	Mexico	male	petiverana	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224117	SRX2023531	Illumina HiSeq 2000	PAIRED	GENOMIC	CA54	2016-08-15	14764	5133	Heliconius erato petiverana	ILLUMINA	2017-03-08	SRR4032022	SRS1618022	CA54		01-Jan-2012	Mexico	Heliconius erato petiverana CA54	Mexico	male	petiverana	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224119	SRX2023533	Illumina HiSeq 2000	PAIRED	GENOMIC	CA56	2016-08-15	13252	4717	Heliconius erato petiverana	ILLUMINA	2017-03-08	SRR4032024	SRS1618023	CA56		01-Jan-2012	Mexico	Heliconius erato petiverana CA56	Mexico	male	petiverana	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224122	SRX2023536	Illumina HiSeq 2000	PAIRED	GENOMIC	cyrbia004	2016-08-15	11083	7887	Heliconius erato cyrbia	ILLUMINA	2017-03-08	SRR4032027	SRS1618026	cyrbia004		01-Jan-2012	Ecuador	Heliconius erato cyrbia cyrbia004	Vilcabamba	female	cyrbia	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224118	SRX2023532	Illumina HiSeq 2000	PAIRED	GENOMIC	CA55	2016-08-15	11293	3988	Heliconius erato petiverana	ILLUMINA	2017-03-08	SRR4032023	SRS1618027	CA55		01-Jan-2012	Mexico	Heliconius erato petiverana CA55	Mexico	female	petiverana	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224124	SRX2023538	Illumina HiSeq 2000	PAIRED	GENOMIC	cyrbia023	2016-08-15	10050	7119	Heliconius erato cyrbia	ILLUMINA	2017-03-08	SRR4032029	SRS1618028	cyrbia023		01-Jan-2012	Ecuador	Heliconius erato cyrbia cyrbia023	Vilcabamba	male	cyrbia	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224123	SRX2023537	Illumina HiSeq 2000	PAIRED	GENOMIC	cyrbia005	2016-08-15	10127	7189	Heliconius erato cyrbia	ILLUMINA	2017-03-08	SRR4032028	SRS1618029	cyrbia005		01-Jan-2012	Ecuador	Heliconius erato cyrbia cyrbia005	Vilcabamba	female	cyrbia	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224125	SRX2023539	Illumina HiSeq 2000	PAIRED	GENOMIC	cyrbia024	2016-08-15	9933	7045	Heliconius erato cyrbia	ILLUMINA	2017-03-08	SRR4032030	SRS1618030	cyrbia024		01-Jan-2012	Ecuador	Heliconius erato cyrbia cyrbia024	Vilcabamba	male	cyrbia	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
252	SAMN05224099	SRX2023540	Illumina HiSeq 2000	PAIRED	GENOMIC	3664	2016-08-15	18234	6281	Heliconius erato chestertonii	ILLUMINA	2017-03-08	SRR4032031	SRS1618031	3664		01-Jan-2012	Colombia	Heliconius erato chestertonii 3664	Colombia	male	chestertonii	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224126	SRX2023541	Illumina HiSeq 2000	PAIRED	GENOMIC	GS012redo	2016-08-15	13171	9191	Heliconius erato favorinus	ILLUMINA	2017-03-08	SRR4032032	SRS1618032	GS012redo		01-Jan-2012	Peru	Heliconius erato favorinus GS012redo	Tarapoto	male	favorinus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224127	SRX2023542	Illumina HiSeq 2000	PAIRED	GENOMIC	GS020redo	2016-08-15	11899	8085	Heliconius erato emma	ILLUMINA	2017-03-08	SRR4032033	SRS1618033	GS020redo		01-Jan-2012	Peru	Heliconius erato emma GS020redo	Peru	female	emma	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224128	SRX2023543	Illumina HiSeq 2000	PAIRED	GENOMIC	GS021redo	2016-08-15	10303	7014	Heliconius erato emma	ILLUMINA	2017-03-08	SRR4032034	SRS1618034	GS021redo		01-Jan-2012	Peru	Heliconius erato emma GS021redo	San Cristobal	male	emma	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224132	SRX2023547	Illumina HiSeq 2000	PAIRED	GENOMIC	himera001	2016-08-15	9146	6333	Heliconius himera	ILLUMINA	2017-03-08	SRR4032038	SRS1618038	himera001		01-Jan-2012	Ecuador	Heliconius himera himera001	Vilcabamba	male		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224133	SRX2023548	Illumina HiSeq 2000	PAIRED	GENOMIC	himera002	2016-08-15	9940	6870	Heliconius himera	ILLUMINA	2017-03-08	SRR4032039	SRS1618039	himera002		01-Jan-2012	Ecuador	Heliconius himera himera002	Vilcabamba	male		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224134	SRX2023549	Illumina HiSeq 2000	PAIRED	GENOMIC	himera003	2016-08-15	10319	7155	Heliconius himera	ILLUMINA	2017-03-08	SRR4032040	SRS1618040	himera003		01-Jan-2012	Ecuador	Heliconius himera himera003	Vilcabamba	female		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224100	SRX2023551	Illumina HiSeq 2000	PAIRED	GENOMIC	BC0410	2016-08-15	14975	10860	Heliconius erato notabilis	ILLUMINA	2017-03-08	SRR4032042	SRS1618041	BC0410		01-Jan-2012	Ecuador	Heliconius erato notabilis BC0410	Mera	male	notabilis	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224135	SRX2023550	Illumina HiSeq 2000	PAIRED	GENOMIC	himera006	2016-08-15	7400	5398	Heliconius himera	ILLUMINA	2017-03-08	SRR4032041	SRS1618042	himera006		01-Jan-2012	Ecuador	Heliconius himera himera006	Vilcabamba	female		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224136	SRX2023552	Illumina HiSeq 2000	PAIRED	GENOMIC	himera030	2016-08-15	7031	5126	Heliconius himera	ILLUMINA	2017-03-08	SRR4032043	SRS1618043	himera030		01-Jan-2012	Ecuador	Heliconius himera himera030	Vilcabamba	male		whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224137	SRX2023553	Illumina HiSeq 2000	PAIRED	GENOMIC	lativitta01	2016-08-15	10491	7690	Heliconius erato lativitta	ILLUMINA	2017-03-08	SRR4032044	SRS1618044	lativitta01		01-Jan-2012	Ecuador	Heliconius erato lativitta lativitta01	Ahuano	female	lativitta	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224138	SRX2023554	Illumina HiSeq 2000	PAIRED	GENOMIC	lativitta02	2016-08-15	13381	9830	Heliconius erato lativitta	ILLUMINA	2017-03-08	SRR4032045	SRS1618045	lativitta02		01-Jan-2012	Ecuador	Heliconius erato lativitta lativitta02	Ahuano	female	lativitta	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224139	SRX2023555	Illumina HiSeq 2000	PAIRED	GENOMIC	lativitta03	2016-08-15	15269	10869	Heliconius erato lativitta	ILLUMINA	2017-03-08	SRR4032046	SRS1618046	lativitta03		01-Jan-2012	Ecuador	Heliconius erato lativitta lativitta03	Ahuano	female	lativitta	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224140	SRX2023556	Illumina HiSeq 2000	PAIRED	GENOMIC	lativitta04	2016-08-15	16025	11749	Heliconius erato lativitta	ILLUMINA	2017-03-08	SRR4032047	SRS1618047	lativitta04		01-Jan-2012	Ecuador	Heliconius erato lativitta lativitta04	Jondachi	female	lativitta	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224141	SRX2023557	Illumina HiSeq 2000	PAIRED	GENOMIC	M3654	2016-08-15	12058	8250	Heliconius erato venus	ILLUMINA	2017-03-08	SRR4032048	SRS1618048	M3654		01-Jan-2012	Colombia	Heliconius erato venus M3654	Colombia	male	venus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224142	SRX2023558	Illumina HiSeq 2000	PAIRED	GENOMIC	M3655	2016-08-15	14587	9952	Heliconius erato venus	ILLUMINA	2017-03-08	SRR4032049	SRS1618049	M3655		01-Jan-2012	Colombia	Heliconius erato venus M3655	Colombia	female	venus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224143	SRX2023559	Illumina HiSeq 2000	PAIRED	GENOMIC	M3656	2016-08-15	12314	8628	Heliconius erato venus	ILLUMINA	2017-03-08	SRR4032050	SRS1618050	M3656		01-Jan-2012	Colombia	Heliconius erato venus M3656	Colombia	male	venus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224144	SRX2023560	Illumina HiSeq 2000	PAIRED	GENOMIC	M3657	2017-03-14	17584	12277	Heliconius erato venus	ILLUMINA	2017-03-14	SRR4032051	SRS1618051	M3657		01-Jan-2012	Colombia	Heliconius erato venus M3657	Colombia	male	venus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
202	SAMN05224145	SRX2023561	Illumina HiSeq 2000	PAIRED	GENOMIC	M3659	2016-08-15	13389	9384	Heliconius erato venus	ILLUMINA	2017-03-08	SRR4032052	SRS1618052	M3659		01-Jan-2012	Colombia	Heliconius erato venus M3659	Colombia	male	venus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224101	SRX2023562	Illumina HiSeq 2000	PAIRED	GENOMIC	BC0411	2016-08-15	15685	11393	Heliconius erato lativitta	ILLUMINA	2017-03-08	SRR4032053	SRS1618053	BC0411		01-Jan-2012	Ecuador	Heliconius erato lativitta BC0411	Ahuano	male	lativitta	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224147	SRX2023564	Illumina HiSeq 2000	PAIRED	GENOMIC	MRKMX0901	2017-03-14	13298	8538	Heliconius erato petiverana	ILLUMINA	2017-03-14	SRR4032055	SRS1618055	MRKMX0901		01-Jan-2012	Mexico	Heliconius erato petiverana MRKMX0901	Mexico	female	petiverana	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224149	SRX2023566	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS0473	2016-08-15	9480	6526	Heliconius erato favorinus	ILLUMINA	2017-03-08	SRR4032057	SRS1618056	NCS0473		01-Jan-2012	Peru	Heliconius erato favorinus NCS0473	Tarapoto	male	favorinus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224148	SRX2023565	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS0471	2016-08-15	10037	6933	Heliconius erato favorinus	ILLUMINA	2017-03-08	SRR4032056	SRS1618057	NCS0471		01-Jan-2012	Peru	Heliconius erato favorinus NCS0471	Tarapoto	male	favorinus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224150	SRX2023567	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS0476	2016-08-15	11419	8092	Heliconius erato favorinus	ILLUMINA	2017-03-08	SRR4032058	SRS1618058	NCS0476		01-Jan-2012	Peru	Heliconius erato favorinus NCS0476	Tarapoto	male	favorinus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224151	SRX2023568	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS0478	2016-08-15	13449	9656	Heliconius erato favorinus	ILLUMINA	2017-03-08	SRR4032059	SRS1618059	NCS0478		01-Jan-2012	Peru	Heliconius erato favorinus NCS0478	Tarapoto	female	favorinus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224152	SRX2023569	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS0479	2016-08-15	10890	7479	Heliconius erato favorinus	ILLUMINA	2017-03-08	SRR4032060	SRS1618060	NCS0479		01-Jan-2012	Peru	Heliconius erato favorinus NCS0479	Tarapoto	male	favorinus	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224153	SRX2023570	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS1179	2016-08-15	9000	6289	Heliconius erato hydara	ILLUMINA	2017-03-08	SRR4032061	SRS1618061	NCS1179		01-Jan-2012	French Guiana	Heliconius erato hydara NCS1179	Kaw	male	hydara	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224154	SRX2023571	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS1671	2016-08-15	12914	9295	Heliconius erato emma	ILLUMINA	2017-03-08	SRR4032062	SRS1618062	NCS1671		01-Jan-2012	Peru	Heliconius erato emma NCS1671	San Cristobal	male	emma	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224155	SRX2023572	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS1672	2016-08-15	11608	8349	Heliconius erato emma	ILLUMINA	2017-03-08	SRR4032063	SRS1618063	NCS1672		01-Jan-2012	Peru	Heliconius erato emma NCS1672	San Cristobal	male	emma	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224156	SRX2023574	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS1673	2016-08-15	12572	8928	Heliconius erato emma	ILLUMINA	2017-03-08	SRR4032065	SRS1618065	NCS1673		01-Jan-2012	Peru	Heliconius erato emma NCS1673	San Cristobal	male	emma	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224157	SRX2023575	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS1674	2016-08-15	11533	8227	Heliconius erato emma	ILLUMINA	2017-03-08	SRR4032066	SRS1618066	NCS1674		01-Jan-2012	Peru	Heliconius erato emma NCS1674	San Cristobal	male	emma	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224158	SRX2023576	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS1675	2016-08-15	8302	5670	Heliconius erato emma	ILLUMINA	2017-03-08	SRR4032067	SRS1618067	NCS1675		01-Jan-2012	Peru	Heliconius erato emma NCS1675	San Cristobal	male	emma	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224159	SRX2023577	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS1979	2016-08-15	10272	7177	Heliconius erato hydara	ILLUMINA	2017-03-08	SRR4032068	SRS1618068	NCS1979		01-Jan-2012	French Guiana	Heliconius erato hydara NCS1979	Kaw	male	hydara	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224160	SRX2023578	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS2005	2016-08-15	12323	8893	Heliconius erato erato	ILLUMINA	2017-03-08	SRR4032069	SRS1618069	NCS2005		01-Jan-2012	French Guiana	Heliconius erato erato NCS2005	Kaw	male	erato	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224161	SRX2023579	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS2012	2016-08-15	13975	10325	Heliconius erato erato	ILLUMINA	2017-03-08	SRR4032070	SRS1618070	NCS2012		01-Jan-2012	French Guiana	Heliconius erato erato NCS2012	Kaw	female	erato	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224162	SRX2023580	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS2020	2017-03-14	18517	13372	Heliconius erato erato	ILLUMINA	2017-03-14	SRR4032071	SRS1618071	NCS2020		01-Jan-2012	French Guiana	Heliconius erato erato NCS2020	Kaw	male	erato	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
200	SAMN05224163	SRX2023581	Illumina HiSeq 2000	PAIRED	GENOMIC	NCS2023	2016-08-15	14662	10821	Heliconius erato erato	ILLUMINA	2017-03-08	SRR4032072	SRS1618072	NCS2023		01-Jan-2012	French Guiana	Heliconius erato erato NCS2023	Kaw	male	erato	whole body	WGS	PRJNA324415	Invertebrate	public	0	RANDOM	SRP081917
