AvgSpotLen	BioSample	Experiment	InsertSize	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	Sample_Name	Sample_name	analysis_type	gssr_id	host_sex	instrument_name	isolation_source	lane	lsid	project	region	strain	work_request	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	LibrarySelection	LibrarySource	Organism	SRA_Study	geographic_location_country_and_or_sea_region
36	SAMN00627550	SRX076627	0	Illumina Genome Analyzer II	SINGLE	Solexa-2709	6/28/15	105	60	ILLUMINA	6/15/11	SRR278640	SRS211998	PRJNA167910.NOST5/NOST3	NOST5/NOST3	WGSWithRef	12405		SL-XAB	fins	5	BROAD:SEQUENCING_SAMPLE:12405.0	G1260		Norway Stream (NOST)	13206	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627550	SRX076627	0	Illumina Genome Analyzer II	SINGLE	Solexa-2709	6/28/15	76	67	ILLUMINA	6/15/11	SRR278641	SRS211998	PRJNA167910.NOST5/NOST3	NOST5/NOST3	WGSWithRef	12405		SL-XAB	fins	8	BROAD:SEQUENCING_SAMPLE:12405.0	G1260		Norway Stream (NOST)	13206	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627550	SRX076627	0	Illumina Genome Analyzer II	SINGLE	Solexa-2709	6/28/15	78	46	ILLUMINA	6/15/11	SRR278642	SRS211998	PRJNA167910.NOST5/NOST3	NOST5/NOST3	WGSWithRef	12405		SL-XAB	fins	6	BROAD:SEQUENCING_SAMPLE:12405.0	G1260		Norway Stream (NOST)	13206	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627550	SRX076627	0	Illumina Genome Analyzer II	SINGLE	Solexa-2709	6/28/15	82	54	ILLUMINA	6/15/11	SRR278643	SRS211998	PRJNA167910.NOST5/NOST3	NOST5/NOST3	WGSWithRef	12405		SL-XAB	fins	2	BROAD:SEQUENCING_SAMPLE:12405.0	G1260		Norway Stream (NOST)	13206	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627914	SRX077978	0	Illumina Genome Analyzer II	SINGLE	Solexa-4585	6/28/15	186	141	ILLUMINA	6/19/11	SRR285224	SRS212341	PRJNA167910.MUDL #15 Freshwater	MUDL #15 Freshwater	Standard	22955.1	Female	SL-XBA	Fin Clip	8	BROAD:SEQUENCING_SAMPLE:22955.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627914	SRX077978	0	Illumina Genome Analyzer II	SINGLE	Solexa-4585	6/28/15	210	207	ILLUMINA	6/19/11	SRR285251	SRS212341	PRJNA167910.MUDL #15 Freshwater	MUDL #15 Freshwater	Standard	22955.1	Female	SL-XBA	Fin Clip	3	BROAD:SEQUENCING_SAMPLE:22955.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627914	SRX077978	0	Illumina Genome Analyzer II	SINGLE	Solexa-4585	6/28/15	193	169	ILLUMINA	6/19/11	SRR285262	SRS212341	PRJNA167910.MUDL #15 Freshwater	MUDL #15 Freshwater	Standard	22955.1	Female	SL-XBA	Fin Clip	2	BROAD:SEQUENCING_SAMPLE:22955.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627914	SRX077978	0	Illumina Genome Analyzer II	SINGLE	Solexa-4585	6/28/15	187	133	ILLUMINA	6/19/11	SRR285289	SRS212341	PRJNA167910.MUDL #15 Freshwater	MUDL #15 Freshwater	Standard	22955.1	Female	SL-XBA	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22955.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627915	SRX077979	0	Illumina Genome Analyzer II	SINGLE	Solexa-4589	6/28/15	325	294	ILLUMINA	6/19/11	SRR285301	SRS212342	PRJNA167910.ABW #19 Freshwater	ABW #19 Freshwater	Standard	22959.1	Female	SL-XBH	Fin Clip	3	BROAD:SEQUENCING_SAMPLE:22959.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627915	SRX077979	0	Illumina Genome Analyzer II	SINGLE	Solexa-4589	6/28/15	320	282	ILLUMINA	6/19/11	SRR285303	SRS212342	PRJNA167910.ABW #19 Freshwater	ABW #19 Freshwater	Standard	22959.1	Female	SL-XBH	Fin Clip	8	BROAD:SEQUENCING_SAMPLE:22959.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627915	SRX077979	0	Illumina Genome Analyzer II	SINGLE	Solexa-4589	6/28/15	329	323	ILLUMINA	6/19/11	SRR285260	SRS212342	PRJNA167910.ABW #19 Freshwater	ABW #19 Freshwater	Standard	22959.1	Female	SL-XBH	Fin Clip	6	BROAD:SEQUENCING_SAMPLE:22959.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627915	SRX077979	0	Illumina Genome Analyzer II	SINGLE	Solexa-4589	6/28/15	328	311	ILLUMINA	6/19/11	SRR285225	SRS212342	PRJNA167910.ABW #19 Freshwater	ABW #19 Freshwater	Standard	22959.1	Female	SL-XBH	Fin Clip	2	BROAD:SEQUENCING_SAMPLE:22959.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627915	SRX077979	0	Illumina Genome Analyzer II	SINGLE	Solexa-4589	6/28/15	322	281	ILLUMINA	6/19/11	SRR285228	SRS212342	PRJNA167910.ABW #19 Freshwater	ABW #19 Freshwater	Standard	22959.1	Female	SL-XBH	Fin Clip	1	BROAD:SEQUENCING_SAMPLE:22959.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627915	SRX077979	0	Illumina Genome Analyzer II	SINGLE	Solexa-4589	6/28/15	317	302	ILLUMINA	6/19/11	SRR285233	SRS212342	PRJNA167910.ABW #19 Freshwater	ABW #19 Freshwater	Standard	22959.1	Female	SL-XBH	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22959.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627916	SRX077980	0	Illumina Genome Analyzer II	SINGLE	Solexa-4572	6/28/15	160	126	ILLUMINA	6/19/11	SRR285226	SRS212343	PRJNA167910.BDGB #04 Marine	BDGB #04 Marine	Standard	22944.1		SL-XBC	Fin Clip	3	BROAD:SEQUENCING_SAMPLE:22944.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627916	SRX077980	0	Illumina Genome Analyzer II	SINGLE	Solexa-4572	6/28/15	182	146	ILLUMINA	6/19/11	SRR285267	SRS212343	PRJNA167910.BDGB #04 Marine	BDGB #04 Marine	Standard	22944.1		SL-XBC	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22944.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627916	SRX077980	0	Illumina Genome Analyzer II	SINGLE	Solexa-4572	6/28/15	175	135	ILLUMINA	6/19/11	SRR285249	SRS212343	PRJNA167910.BDGB #04 Marine	BDGB #04 Marine	Standard	22944.1		SL-XBC	Fin Clip	5	BROAD:SEQUENCING_SAMPLE:22944.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627916	SRX077980	0	Illumina Genome Analyzer II	SINGLE	Solexa-4572	6/28/15	184	157	ILLUMINA	6/19/11	SRR285245	SRS212343	PRJNA167910.BDGB #04 Marine	BDGB #04 Marine	Standard	22944.1		SL-XBC	Fin Clip	6	BROAD:SEQUENCING_SAMPLE:22944.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627916	SRX077980	0	Illumina Genome Analyzer II	SINGLE	Solexa-4572	6/28/15	159	132	ILLUMINA	6/19/11	SRR285279	SRS212343	PRJNA167910.BDGB #04 Marine	BDGB #04 Marine	Standard	22944.1		SL-XBC	Fin Clip	1	BROAD:SEQUENCING_SAMPLE:22944.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627917	SRX077981	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	666	1267	ILLUMINA	6/19/11	SRR285280	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627917	SRX077981	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	720	1303	ILLUMINA	6/19/11	SRR285300	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	5	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627917	SRX077981	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	646	961	ILLUMINA	6/19/11	SRR285246	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	1	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627917	SRX077981	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	659	1078	ILLUMINA	6/19/11	SRR285238	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	2	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627917	SRX077981	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	11/20/15	314	189	ILLUMINA	7/22/15	SRR285258	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	8	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627917	SRX077981	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	631	899	ILLUMINA	6/19/11	SRR285256	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	6	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627917	SRX077981	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	669	1034	ILLUMINA	6/19/11	SRR285227	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	3	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627917	SRX077982	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	320	526	ILLUMINA	6/19/11	SRR285229	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	8	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627917	SRX077982	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	314	546	ILLUMINA	6/19/11	SRR285269	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	3	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627917	SRX077982	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	323	555	ILLUMINA	6/19/11	SRR285281	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	6	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627917	SRX077982	0	Illumina Genome Analyzer II	SINGLE	Solexa-4583	6/28/15	319	538	ILLUMINA	6/19/11	SRR285277	SRS212344	PRJNA167910.HUTU #13 Freshwater	HUTU #13 Freshwater	Standard	22953.1	Female	SL-XAS	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22953.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627918	SRX077983	0	Illumina Genome Analyzer II	SINGLE	Solexa-4587	6/28/15	160	167	ILLUMINA	6/19/11	SRR285275	SRS212345	PRJNA167910.SCX #17 Freshwater	SCX #17 Freshwater	Standard	22957.1	Female	SL-XBF	Fin Clip	3	BROAD:SEQUENCING_SAMPLE:22957.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627918	SRX077983	0	Illumina Genome Analyzer II	SINGLE	Solexa-4587	6/28/15	177	196	ILLUMINA	6/19/11	SRR285298	SRS212345	PRJNA167910.SCX #17 Freshwater	SCX #17 Freshwater	Standard	22957.1	Female	SL-XBF	Fin Clip	2	BROAD:SEQUENCING_SAMPLE:22957.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627918	SRX077983	0	Illumina Genome Analyzer II	SINGLE	Solexa-4587	6/28/15	172	124	ILLUMINA	6/19/11	SRR285307	SRS212345	PRJNA167910.SCX #17 Freshwater	SCX #17 Freshwater	Standard	22957.1	Female	SL-XBF	Fin Clip	6	BROAD:SEQUENCING_SAMPLE:22957.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627918	SRX077983	0	Illumina Genome Analyzer II	SINGLE	Solexa-4587	6/28/15	172	123	ILLUMINA	6/19/11	SRR285270	SRS212345	PRJNA167910.SCX #17 Freshwater	SCX #17 Freshwater	Standard	22957.1	Female	SL-XBF	Fin Clip	5	BROAD:SEQUENCING_SAMPLE:22957.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627918	SRX077983	0	Illumina Genome Analyzer II	SINGLE	Solexa-4587	6/28/15	164	108	ILLUMINA	6/19/11	SRR285240	SRS212345	PRJNA167910.SCX #17 Freshwater	SCX #17 Freshwater	Standard	22957.1	Female	SL-XBF	Fin Clip	8	BROAD:SEQUENCING_SAMPLE:22957.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627918	SRX077983	0	Illumina Genome Analyzer II	SINGLE	Solexa-4587	6/28/15	165	173	ILLUMINA	6/19/11	SRR285230	SRS212345	PRJNA167910.SCX #17 Freshwater	SCX #17 Freshwater	Standard	22957.1	Female	SL-XBF	Fin Clip	1	BROAD:SEQUENCING_SAMPLE:22957.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627918	SRX077983	0	Illumina Genome Analyzer II	SINGLE	Solexa-4587	6/28/15	166	112	ILLUMINA	6/19/11	SRR285235	SRS212345	PRJNA167910.SCX #17 Freshwater	SCX #17 Freshwater	Standard	22957.1	Female	SL-XBF	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22957.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627919	SRX077984	0	Illumina Genome Analyzer II	SINGLE	Solexa-4588	6/28/15	274	327	ILLUMINA	6/19/11	SRR285231	SRS212346	PRJNA167910.SHEL #18 Freshwater	SHEL #18 Freshwater	Standard	22958.1	Female	SL-XBH	Fin Clip	8	BROAD:SEQUENCING_SAMPLE:22958.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627919	SRX077984	0	Illumina Genome Analyzer II	SINGLE	Solexa-4588	6/28/15	283	344	ILLUMINA	6/19/11	SRR285309	SRS212346	PRJNA167910.SHEL #18 Freshwater	SHEL #18 Freshwater	Standard	22958.1	Female	SL-XBH	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22958.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627919	SRX077984	0	Illumina Genome Analyzer II	SINGLE	Solexa-4588	6/28/15	267	346	ILLUMINA	6/19/11	SRR285299	SRS212346	PRJNA167910.SHEL #18 Freshwater	SHEL #18 Freshwater	Standard	22958.1	Female	SL-XBH	Fin Clip	6	BROAD:SEQUENCING_SAMPLE:22958.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
36	SAMN00627919	SRX077984	0	Illumina Genome Analyzer II	SINGLE	Solexa-4588	6/28/15	269	323	ILLUMINA	6/19/11	SRR285273	SRS212346	PRJNA167910.SHEL #18 Freshwater	SHEL #18 Freshwater	Standard	22958.1	Female	SL-XBH	Fin Clip	1	BROAD:SEQUENCING_SAMPLE:22958.1	G1422		missing	16642	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627920	SRX077985	0	Illumina Genome Analyzer II	SINGLE	Solexa-4568	6/28/15	212	129	ILLUMINA	6/19/11	SRR285276	SRS212347	PRJNA167910.RABS #01 Marine	RABS #01 Marine	Standard	22941.1	Female	SL-XAS	Fin Clip	8	BROAD:SEQUENCING_SAMPLE:22941.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627920	SRX077985	0	Illumina Genome Analyzer II	SINGLE	Solexa-4568	6/28/15	317	202	ILLUMINA	6/19/11	SRR285286	SRS212347	PRJNA167910.RABS #01 Marine	RABS #01 Marine	Standard	22941.1	Female	SL-XAS	Fin Clip	5	BROAD:SEQUENCING_SAMPLE:22941.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627920	SRX077985	0	Illumina Genome Analyzer II	SINGLE	Solexa-4568	6/28/15	316	233	ILLUMINA	6/19/11	SRR285296	SRS212347	PRJNA167910.RABS #01 Marine	RABS #01 Marine	Standard	22941.1	Female	SL-XAS	Fin Clip	3	BROAD:SEQUENCING_SAMPLE:22941.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627920	SRX077985	0	Illumina Genome Analyzer II	SINGLE	Solexa-4568	6/28/15	308	187	ILLUMINA	6/19/11	SRR285292	SRS212347	PRJNA167910.RABS #01 Marine	RABS #01 Marine	Standard	22941.1	Female	SL-XAS	Fin Clip	7	BROAD:SEQUENCING_SAMPLE:22941.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627920	SRX077985	0	Illumina Genome Analyzer II	SINGLE	Solexa-4568	6/28/15	326	310	ILLUMINA	6/19/11	SRR285232	SRS212347	PRJNA167910.RABS #01 Marine	RABS #01 Marine	Standard	22941.1	Female	SL-XAS	Fin Clip	1	BROAD:SEQUENCING_SAMPLE:22941.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
51	SAMN00627920	SRX077985	0	Illumina Genome Analyzer II	SINGLE	Solexa-4568	6/28/15	311	192	ILLUMINA	6/19/11	SRR285257	SRS212347	PRJNA167910.RABS #01 Marine	RABS #01 Marine	Standard	22941.1	Female	SL-XAS	Fin Clip	6	BROAD:SEQUENCING_SAMPLE:22941.1	G1422		missing	17383	WGS	PRJNA13579	BI	public	sra	ncbi	RANDOM	GENOMIC	Gasterosteus aculeatus	SRP001034	missing
