AvgSpotLen	BioSample	ENA_FIRST_PUBLIC	Experiment	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	geographic_location_country_and_or_sea	lat_lon	sex	tissue_type	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_LAST_UPDATE	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study
35	SAMEA2338567	2014-01-10	ERX373378	3500	NG-5241_4kb.BS24	2017-12-05	1590	726	2014-03-02	ERR407017	ERS391922	BS24	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA1523621	2012-10-01	ERX373379	3500	NG-5241_4kb.BS25	2017-12-05	1815	851	2014-03-02	ERR407018	ERS123916	BS25						WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA1523618	2012-10-01	ERX373380	3500	NG-5241_4kb.BS26	2017-12-05	2037	1032	2014-03-02	ERR407019	ERS123917	BS26						WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA1523622	2012-10-01	ERX373381	3500	NG-5241_4kb.BS27	2017-12-05	2550	1364	2014-03-03	ERR407020	ERS123918	BS27						WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA1523619	2012-10-01	ERX373382	3500	NG-5241_4kb.BS28	2017-12-05	2492	1321	2014-03-03	ERR407021	ERS123919	BS28						WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA1523623	2012-10-01	ERX373383	3500	NG-5241_4kb.BS29	2017-12-05	2494	1314	2014-03-03	ERR407022	ERS123920	BS29						WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
101	SAMEA2338598	2014-01-10	ERX373384	3500	NG-5241_4kb.BS2	2017-12-05	7772	4956	2014-03-03	ERR407023	ERS391869	BS2	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
101	SAMEA1523620	2012-10-01	ERX373385	3500	NG-5241_4kb.BS30	2017-12-05	7119	4433	2014-03-03	ERR407024	ERS123921	BS30						WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
101	SAMEA2338569	2014-01-10	ERX373386	3500	NG-5241_4kb.BS3	2017-12-05	7347	4620	2014-03-03	ERR407025	ERS391882	BS3	May 2010	Germany	54.204189,10.561639	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
101	SAMEA2338546	2014-01-10	ERX373387	3500	NG-5241_4kb.BS4	2017-12-05	6056	3653	2014-03-03	ERR407026	ERS391870	BS4	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA2338559	2014-01-10	ERX373388	3500	NG-5241_4kb.BS5	2017-12-05	1835	977	2014-03-03	ERR407027	ERS391883	BS5	May 2010	Germany	54.204189,10.561639	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA2338594	2014-01-10	ERX373389	3500	NG-5241_4kb.BS6	2017-12-05	2078	1106	2014-03-03	ERR407028	ERS391871	BS6	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
79	SAMEA2338552	2014-01-10	ERX373390	3500	NG-5241_4kb.BS7	2017-12-05	2988	1662	2014-03-03	ERR407029	ERS391884	BS7	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338579	2014-01-10	ERX373391	3500	NG-5241_4kb.BS8	2017-12-05	2221	1104	2014-03-03	ERR407030	ERS391872	BS8	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
35	SAMEA2338593	2014-01-10	ERX373392	3500	NG-5241_4kb.BS9	2017-12-05	2391	1198	2014-03-03	ERR407031	ERS391885	BS9	May 2010	Germany	54.204189,10.561639	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373393	150	NG-5241_STD.BS10	2014-02-24	225	149	2014-03-02	ERR407032	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373394	150	NG-5241_STD.BS10	2014-02-24	80	49	2014-03-02	ERR407033	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373395	150	NG-5241_STD.BS10	2014-02-24	73	44	2014-03-02	ERR407034	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373396	150	NG-5241_STD.BS10	2014-02-24	83	52	2014-03-02	ERR407035	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373397	150	NG-5241_STD.BS10	2014-02-24	70	42	2014-03-02	ERR407036	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373398	150	NG-5241_STD.BS10	2014-02-24	424	297	2014-03-02	ERR407037	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373399	150	NG-5241_STD.BS10	2014-02-24	412	287	2014-03-02	ERR407038	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338557	2014-01-10	ERX373400	150	NG-5241_STD.BS10	2014-02-24	149	91	2014-03-02	ERR407039	ERS391873	BS10	May 2010	Germany	54.156003,10.430144	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338582	2014-01-10	ERX373401	150	NG-5241_STD.BS11	2014-02-24	462	321	2014-03-02	ERR407040	ERS391886	BS11	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338582	2014-01-10	ERX373402	150	NG-5241_STD.BS11	2014-02-24	68	43	2014-03-02	ERR407041	ERS391886	BS11	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338582	2014-01-10	ERX373403	150	NG-5241_STD.BS11	2014-02-24	62	40	2014-03-02	ERR407042	ERS391886	BS11	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338582	2014-01-10	ERX373404	150	NG-5241_STD.BS11	2014-02-24	60	39	2014-03-02	ERR407043	ERS391886	BS11	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338582	2014-01-10	ERX373405	150	NG-5241_STD.BS11	2014-02-24	65	43	2014-03-02	ERR407044	ERS391886	BS11	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338582	2014-01-10	ERX373406	150	NG-5241_STD.BS11	2014-02-24	60	39	2014-03-02	ERR407045	ERS391886	BS11	May 2010	Germany	54.204189,10.561639	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338545	2014-01-10	ERX373407	150	NG-5241_STD.BS12	2014-02-25	346	233	2014-03-03	ERR407046	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338545	2014-01-10	ERX373408	150	NG-5241_STD.BS12	2014-02-24	171	94	2014-03-03	ERR407047	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338545	2014-01-10	ERX373409	150	NG-5241_STD.BS12	2014-02-24	60	37	2014-03-02	ERR407048	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338545	2014-01-10	ERX373410	150	NG-5241_STD.BS12	2014-02-24	55	35	2014-03-02	ERR407049	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338545	2014-01-10	ERX373411	150	NG-5241_STD.BS12	2014-02-24	53	33	2014-03-02	ERR407050	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338545	2014-01-10	ERX373412	150	NG-5241_STD.BS12	2014-02-24	58	37	2014-03-02	ERR407051	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338545	2014-01-10	ERX373413	150	NG-5241_STD.BS12	2014-02-24	53	34	2014-03-02	ERR407052	ERS391874	BS12	May 2010	Germany	54.156003,10.430144	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338580	2014-01-10	ERX373414	150	NG-5241_STD.BS13	2014-02-25	234	161	2014-03-03	ERR407053	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338580	2014-01-10	ERX373415	150	NG-5241_STD.BS13	2014-02-25	223	153	2014-03-03	ERR407054	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338580	2014-01-10	ERX373416	150	NG-5241_STD.BS13	2014-02-24	41	25	2014-03-03	ERR407055	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338580	2014-01-10	ERX373417	150	NG-5241_STD.BS13	2014-02-25	34	22	2014-03-03	ERR407056	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338580	2014-01-10	ERX373418	150	NG-5241_STD.BS13	2014-02-25	33	21	2014-03-03	ERR407057	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338580	2014-01-10	ERX373419	150	NG-5241_STD.BS13	2014-02-25	37	24	2014-03-03	ERR407058	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338580	2014-01-10	ERX373420	150	NG-5241_STD.BS13	2014-02-25	33	21	2014-03-03	ERR407059	ERS391863	BS13	May 2010	Germany	54.263617,10.040131	Male	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338575	2014-01-10	ERX373421	150	NG-5241_STD.BS14	2014-02-25	276	185	2014-03-03	ERR407060	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338575	2014-01-10	ERX373422	150	NG-5241_STD.BS14	2014-02-25	284	192	2014-03-03	ERR407061	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338575	2014-01-10	ERX373423	150	NG-5241_STD.BS14	2014-02-25	40	25	2014-03-03	ERR407062	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338575	2014-01-10	ERX373424	150	NG-5241_STD.BS14	2014-02-25	34	21	2014-03-03	ERR407063	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338575	2014-01-10	ERX373425	150	NG-5241_STD.BS14	2014-02-25	33	20	2014-03-03	ERR407064	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338575	2014-01-10	ERX373426	150	NG-5241_STD.BS14	2014-02-25	37	23	2014-03-03	ERR407065	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338575	2014-01-10	ERX373427	150	NG-5241_STD.BS14	2014-02-25	33	21	2014-03-03	ERR407066	ERS391917	BS14	May 2010	Germany	54.283867,9.948808	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338595	2014-01-10	ERX373428	150	NG-5241_STD.BS15	2014-02-25	248	169	2014-03-03	ERR407067	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338595	2014-01-10	ERX373429	150	NG-5241_STD.BS15	2014-02-25	239	162	2014-03-03	ERR407068	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
192	SAMEA2338595	2014-01-10	ERX373430	150	NG-5241_STD.BS15	2014-02-25	286	189	2014-03-03	ERR407069	ERS391864	BS15	May 2010	Germany	54.263617,10.040131	Female	Muscle tissue	WGS	PRJEB5198	MPI-EVB	public	sra	ncbi	2018-03-08	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Gasterosteus aculeatus	ILLUMINA	ERP004574
