study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	nominal_length	library_layout	library_strategy	read_count	base_count	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_bytes	sra_ftp	sample_title
PRJEB10586	SAMEA3532842	ERS839991	ERX1092169	ERR1013145	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	201796899	40209977700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013145/ERR1013145.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013145/ERR1013145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013145/ERR1013145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013145/ERR1013145.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013145/ERR1013145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1013145/ERR1013145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73783.realigned.mateFixed.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73783.realigned.mateFixed.bam	27694972299	ftp.sra.ebi.ac.uk/vol1/err/ERR101/005/ERR1013145	long-tailed finch (BAM)
PRJEB10586	SAMEA3532843	ERS839992	ERX1092170	ERR1013146	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	275306460	54738071800	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013146/ERR1013146.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013146/ERR1013146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013146/ERR1013146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013146/ERR1013146.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013146/ERR1013146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013146/ERR1013146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73788.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73788.recal.bam	35463622765	ftp.sra.ebi.ac.uk/vol1/err/ERR101/006/ERR1013146	long-tailed finch (BAM)
PRJEB10586	SAMEA3532844	ERS839993	ERX1092171	ERR1013147	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	178865309	35648252700	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013147/ERR1013147.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013147/ERR1013147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013147/ERR1013147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013147/ERR1013147.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013147/ERR1013147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013147/ERR1013147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73790.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73790.recal.bam	22897271138	ftp.sra.ebi.ac.uk/vol1/err/ERR101/007/ERR1013147	long-tailed finch (BAM)
PRJEB10586	SAMEA3532845	ERS839994	ERX1092172	ERR1013148	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	127829756	25472856200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013148/ERR1013148.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013148/ERR1013148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013148/ERR1013148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013148/ERR1013148.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013148/ERR1013148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013148/ERR1013148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73900.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73900.recal.bam	16347567752	ftp.sra.ebi.ac.uk/vol1/err/ERR101/008/ERR1013148	long-tailed finch (BAM)
PRJEB10586	SAMEA3532846	ERS839995	ERX1092173	ERR1013149	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	210565626	41928749300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013149/ERR1013149.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013149/ERR1013149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013149/ERR1013149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013149/ERR1013149.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013149/ERR1013149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013149/ERR1013149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73903.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73903.recal.bam	27147928819	ftp.sra.ebi.ac.uk/vol1/err/ERR101/009/ERR1013149	long-tailed finch (BAM)
PRJEB10586	SAMEA3532847	ERS839996	ERX1092174	ERR1013150	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	133912886	26674571100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013150/ERR1013150.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013150/ERR1013150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013150/ERR1013150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013150/ERR1013150.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013150/ERR1013150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/000/ERR1013150/ERR1013150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73907.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73907.recal.bam	17148629867	ftp.sra.ebi.ac.uk/vol1/err/ERR101/000/ERR1013150	long-tailed finch (BAM)
PRJEB10586	SAMEA3532848	ERS839997	ERX1092175	ERR1013151	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	179584243	35768914900	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013151/ERR1013151.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013151/ERR1013151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013151/ERR1013151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013151/ERR1013151.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013151/ERR1013151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR1013151/ERR1013151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73933.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73933.recal.bam	22959887024	ftp.sra.ebi.ac.uk/vol1/err/ERR101/001/ERR1013151	long-tailed finch (BAM)
PRJEB10586	SAMEA3532849	ERS839998	ERX1092176	ERR1013152	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	107665969	21464284100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013152/ERR1013152.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013152/ERR1013152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013152/ERR1013152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013152/ERR1013152.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013152/ERR1013152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1013152/ERR1013152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73942.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73942.recal.bam	13883732272	ftp.sra.ebi.ac.uk/vol1/err/ERR101/002/ERR1013152	long-tailed finch (BAM)
PRJEB10586	SAMEA3532850	ERS839999	ERX1092177	ERR1013153	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	143638963	28625774400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013153/ERR1013153.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013153/ERR1013153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013153/ERR1013153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013153/ERR1013153.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013153/ERR1013153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1013153/ERR1013153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73948.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73948.recal.bam	18308522436	ftp.sra.ebi.ac.uk/vol1/err/ERR101/003/ERR1013153	long-tailed finch (BAM)
PRJEB10586	SAMEA3532851	ERS840000	ERX1092178	ERR1013154	259256	Poephila acuticauda	Illumina HiSeq 2000	250	PAIRED	WGS	136712802	27203046300	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013154/ERR1013154.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013154/ERR1013154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013154/ERR1013154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013154/ERR1013154.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013154/ERR1013154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/004/ERR1013154/ERR1013154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73958.recal.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478709/bam/73958.recal.bam	17701112560	ftp.sra.ebi.ac.uk/vol1/err/ERR101/004/ERR1013154	long-tailed finch (BAM)
PRJEB10586	SAMEA3532852	ERS840001	ERX1092180	ERR1013156	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	165920670	34655300275	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013156/ERR1013156.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013156/ERR1013156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013156/ERR1013156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013156/ERR1013156.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013156/ERR1013156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1013156/ERR1013156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-1.bwamem.RG.psorted.pmarkdup.realigned.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-1.bwamem.RG.psorted.pmarkdup.realigned.bam	15080215880	ftp.sra.ebi.ac.uk/vol1/err/ERR101/006/ERR1013156	zebra finch (domesticated)
PRJEB10586	SAMEA3532853	ERS840002	ERX1092181	ERR1013157	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	182697824	38175886071	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013157/ERR1013157.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013157/ERR1013157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013157/ERR1013157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013157/ERR1013157.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013157/ERR1013157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1013157/ERR1013157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-2.bwamem.RG.psorted.pmarkdup.realigned.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-2.bwamem.RG.psorted.pmarkdup.realigned.bam	16548235551	ftp.sra.ebi.ac.uk/vol1/err/ERR101/007/ERR1013157	zebra finch (domesticated)
PRJEB10586	SAMEA3532854	ERS840003	ERX1092182	ERR1013158	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	176433790	36870137240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013158/ERR1013158.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013158/ERR1013158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013158/ERR1013158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013158/ERR1013158.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013158/ERR1013158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1013158/ERR1013158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-3.bwamem.RG.psorted.pmarkdup.realigned.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-3.bwamem.RG.psorted.pmarkdup.realigned.bam	15956474543	ftp.sra.ebi.ac.uk/vol1/err/ERR101/008/ERR1013158	zebra finch (domesticated)
PRJEB10586	SAMEA3532855	ERS840004	ERX1092183	ERR1013159	59729	Taeniopygia guttata	Illumina HiSeq 2000	250	PAIRED	WGS	187089906	39228737730	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013159/ERR1013159.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013159/ERR1013159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013159/ERR1013159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013159/ERR1013159.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013159/ERR1013159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1013159/ERR1013159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-4.bwamem.RG.psorted.pmarkdup.realigned.bam	ftp.sra.ebi.ac.uk/vol1/ERA478/ERA478712/bam/aln-pe.MP-4.bwamem.RG.psorted.pmarkdup.realigned.bam	17093380632	ftp.sra.ebi.ac.uk/vol1/err/ERR101/009/ERR1013159	zebra finch (domesticated)
